#=====================================================
# File created:        Sun-13-Oct-2024-at-04-28-41PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        11.730978
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00343    0.5150    -911.4048  0.3193 
   00344    0.5050    -902.0762  0.3332 
   00345    0.4725    -876.5130  0.3275 
   00346    0.5200    -875.3304  0.3031 
   00347    0.4825    -908.2366  0.3327 
   00348    0.5225    -902.5751  0.3702 
   00349    0.4750    -891.9492  0.3802 
   00350    0.5375    -914.1388  0.3546 
   00351    0.4875    -899.2805  0.3595 
   00352    0.5025    -955.0162  0.3248 
   00353    0.4800    -980.6417  0.3494 
   00354    0.4250   -1002.6432  0.3398 
   00355    0.4825    -998.8984  0.3043 
   00356    0.3900    -980.8176  0.3023 
   00357    0.5125    -953.4140  0.2848 
   00358    0.4700    -942.0914  0.2680 
   00359    0.5450    -907.0940  0.2650 
   00360    0.4475    -889.5322  0.2766 
   00361    0.4950    -946.8042  0.2982 
   00362    0.5125    -965.0333  0.3131 
   00363    0.4975    -965.4759  0.3382 
   00364    0.5000    -946.7007  0.3421 
   00365    0.4700    -960.0637  0.3408 
   00366    0.5225    -997.9534  0.3438 
   00367    0.4675    -991.8444  0.3534 
   00368    0.4400    -974.8342  0.3310 
   00369    0.5050    -977.3918  0.3375 
   00370    0.4750    -977.8547  0.3089 
   00371    0.4950    -967.0599  0.2893 
   00372    0.4400   -1013.0755  0.2951 
   00373    0.4600    -968.0132  0.2955 
   00374    0.5000    -972.6132  0.3062 
   00375    0.4650    -989.3425  0.3108 
   00376    0.4975    -973.6944  0.3004 
   00377    0.5150    -960.6339  0.3038 
   00378    0.4775    -977.6488  0.3338 
   00379    0.4600    -966.4592  0.2986 
   00380    0.4450    -964.0478  0.3091 
   00381    0.5000    -925.9501  0.3292 
   00382    0.5075    -955.5039  0.3274 
   00383    0.4900    -951.0025  0.3061 
   00384    0.4875    -984.0815  0.2805 
